|[(21, 20)]| [] |[(2, 1)]| |[(31, 27)]| [] |[(13, 11)]| [] [] [] [] [] |[(12, 0)]| |[(26, 23)]| |[(10, 4)]| [] [] [] [] [] [] |[(28, 9)]| [] [] |[(29, 5)]| |[(17, 8)]| [] [] [] |[(30, 3)]| |[(24, 6)]| []
|[(23, 22)]| [] |[(6, 5)]| [] |[(21, 16)]| [] |[(20, 19)]| [] [] [] [] |[(8, 4)]| |[(15, 2)]| [] [] [] [] [] |[(18, 1)]| |[(25, 13)]| [] [] |[(30, 9)]| [] [] [] |[(27, 0)]| [] [] [] |[(28, 3)]|
[] |[(10, 8)]| [] |[(20, 16)]| [] |[(21, 19)]| [] [] [] |[(9, 3)]| [] |[(26, 22)]| [] |[(15, 1)]| [] |[(18, 2)]| [] |[(25, 11)]| [] [] |[(17, 4)]| [] |[(27, 12)]| [] |[(23, 14)]| [] |[(29, 6)]| [] |[(24, 5)]| [] |[(31, 0)]|
|[(3, 2)]| |[(22, 20)]| [] |[(23, 19)]| [] |[(31, 25)]| [] [] [] |[(26, 16)]| |[(11, 0)]| |[(10, 6)]| [] [] [] [] [] [] |[(28, 15)]| |[(17, 5)]| |[(29, 8)]| [] [] [] [] [] |[(18, 9)]| |[(24, 4)]| [] [] |[(30, 1)]|
[] |[(3, 1)]| |[(22, 21)]| [] [] |[(15, 9)]| |[(12, 11)]| [] |[(26, 19)]| [] [] |[(29, 17)]| |[(13, 0)]| |[(28, 18)]| [] [] [] |[(24, 10)]| [] [] [] [] [] |[(31, 7)]| [] |[(20, 14)]| [] |[(30, 2)]| [] [] []
[] [] |[(23, 20)]| [] |[(22, 19)]| [] |[(7, 0)]| |[(9, 1)]| [] [] [] |[(15, 3)]| [] [] |[(10, 5)]| |[(24, 8)]| [] |[(31, 13)]| [] [] |[(25, 12)]| [] |[(17, 6)]| [] |[(29, 4)]| [] [] [] [] |[(28, 2)]| []
|[(5, 4)]| |[(23, 21)]| [] [] [] |[(22, 16)]| [] [] |[(24, 17)]| [] |[(9, 2)]| [] [] |[(8, 6)]| [] [] |[(18, 3)]| [] [] |[(31, 11)]| [] |[(27, 13)]| |[(29, 10)]| [] |[(25, 0)]| [] [] [] |[(28, 1)]| [] []
[] [] |[(14, 13)]| |[(28, 24)]| [] [] [] |[(27, 19)]| [] |[(8, 2)]| |[(15, 4)]| [] [] [] |[(9, 6)]| |[(17, 1)]| [] [] [] |[(20, 0)]| [] [] [] |[(18, 10)]| |[(21, 12)]| [] |[(30, 5)]| [] |[(22, 11)]| |[(29, 3)]| []
[] [] |[(30, 29)]| [] |[(15, 10)]| |[(5, 3)]| [] [] |[(8, 1)]| [] |[(27, 16)]| |[(31, 19)]| [] |[(25, 23)]| [] [] |[(24, 9)]| [] |[(17, 2)]| [] |[(21, 0)]| |[(18, 4)]| [] |[(20, 12)]| [] |[(28, 6)]| |[(22, 13)]| [] |[(26, 7)]| [] []
|[(29, 28)]| [] |[(18, 17)]| [] [] |[(4, 2)]| |[(15, 8)]| [] [] |[(31, 21)]| |[(10, 1)]| |[(9, 5)]| [] [] |[(27, 20)]| [] |[(22, 7)]| [] |[(19, 0)]| [] [] [] |[(26, 13)]| |[(30, 6)]| [] [] |[(24, 3)]| |[(23, 11)]| [] [] []
[] [] [] [] |[(4, 1)]| |[(30, 24)]| [] |[(10, 2)]| |[(14, 7)]| [] |[(31, 20)]| [] [] |[(27, 21)]| |[(25, 22)]| |[(16, 0)]| |[(26, 11)]| [] [] |[(29, 9)]| [] [] [] [] |[(28, 5)]| |[(18, 8)]| [] [] [] |[(17, 15)]| |[(19, 12)]|
